Customer_ID,Name,Email,Phone,Address,City,State,Zipcode,Country,Age,Gender,Income,Customer_Segment
44993,Geoffrey Simpson,Sherry51@gmail.com,9803128674,5432 Shah Brook,San Jose,Virginia,24427,USA,19,Female,Medium,New
41633,Rebecca Aguilar,Brooke17@gmail.com,1014956621,452 Serrano Orchard Apt. 020,Philadelphia,Colorado,81641,USA,19,Female,Medium,New
51093,Douglas Gray,Traci81@gmail.com,7472706327,378 Daugherty Circles,New Orleans,Texas,78007,USA,19,Male,Medium,New
39921,Destiny Wilson,Steven58@gmail.com,5189438910,06081 Troy Field Apt. 987,Cleveland,Connecticut,6081,USA,19,Female,Medium,New
55219,Denise Morales,Madison55@gmail.com,1324833631,541 Dalton Spurs Suite 346,Cleveland,Virginia,23320,USA,19,Male,Medium,New
42928,Heather Lowery,Sarah9@gmail.com,3168200620,77331 Smith Wells,Atlanta,Mississippi,38679,USA,19,Female,Medium,New
24118,Stephanie Smith,Jeff84@gmail.com,3279279769,6611 Christopher Walks,Seattle,Wisconsin,53157,USA,19,Male,Medium,New
14708,Lori Stone,John36@gmail.com,5080984345,0555 Daniel River,Charlotte,Nevada,89817,USA,19,Male,Medium,New
19879,Jason Jackson,Kristin73@gmail.com,6161465542,862 Jillian Mission Apt. 891,New York,Oregon,97906,USA,19,Male,Medium,New
36499,Craig Davis,Miranda41@gmail.com,3317931406,73584 Nicole Expressway,Milwaukee,Colorado,80979,USA,19,Male,Medium,New
11868,Rachel Fitzpatrick,Rachel94@gmail.com,4633521434,895 Olson Burgs Suite 134,Charlotte,Michigan,48352,USA,19,Male,Medium,New
36562,Elijah Livingston,Alexis63@gmail.com,8532184112,8708 Christian Forge Suite 108,Columbus,Alaska,99588,USA,19,Male,Medium,New
69149,Gina Garrett,Yesenia74@gmail.com,9855363536,348 Cox Fords,Memphis,New Jersey,8962,USA,19,Female,Medium,New
53429,Gregory Cooper,Robert22@gmail.com,9965769295,134 Baker Curve,Long Beach,Maine,4426,USA,19,Female,Medium,New
90134,Shawn Hartman,Valerie56@gmail.com,6212446432,677 Stephen Stravenue,San Francisco,Michigan,49291,USA,19,Male,Medium,New
14491,John Durham,Heather7@gmail.com,5001347764,457 Kramer Stravenue,Cleveland,New Hampshire,3643,USA,19,Female,Medium,New
69780,Anthony Stephens,Christopher59@gmail.com,9701382415,37377 Cruz Rue Apt. 769,Tulsa,Delaware,19937,USA,19,Male,Medium,New
80421,Erica Brown,Amy90@gmail.com,5255411948,763 Case Row,Portland,Oregon,97318,USA,19,Male,Medium,New
41345,Rhonda Flores,April80@gmail.com,6681448598,76055 Christopher Plains,Fort Worth,New Mexico,88165,USA,19,Male,Medium,New
40376,Alicia Martin,Traci35@gmail.com,2531398558,985 Jordan Road,Fort Worth,New Mexico,53584,USA,19,Male,Medium,New
54415,James Taylor,Ryan90@gmail.com,4622964053,69065 Michael Oval,Fort Worth,New Mexico,80030,USA,19,Male,Medium,New
59523,Austin Ortiz,Melinda50@gmail.com,9678901320,6056 Stacy Well,Fort Worth,New Mexico,43036,USA,19,Female,Medium,New
85060,Kim Allen,Rhonda44@gmail.com,6870867693,0870 Everett Fort Apt. 518,Fort Worth,New Mexico,74707,USA,19,Male,Medium,New
12868,Brittany Hernandez,Ryan85@gmail.com,6873947386,88563 Baxter Squares,Fort Worth,New Mexico,26355,USA,19,Male,Medium,New
24224,Chloe Ramirez,Courtney40@gmail.com,2451072454,070 Freeman River Suite 491,Fort Worth,New Mexico,49131,USA,19,Female,Medium,New
97605,Carla Mayer,Gregory44@gmail.com,9458925582,14465 Lane Harbors,Fort Worth,New Mexico,66015,USA,19,Female,Medium,New
36076,Cassandra Jones,Joshua33@gmail.com,8993447502,826 Pamela Key Apt. 014,Fort Worth,New Mexico,8587,USA,19,Male,Medium,New
73764,Julie Richmond,Rebecca57@gmail.com,7217568029,80804 Payne Streets,Fort Worth,New Mexico,6175,USA,19,Female,Medium,New
21796,Charles Smith,Jennifer61@gmail.com,4276041081,023 George Brooks,Fort Worth,New Mexico,57673,USA,19,Male,Medium,New
71854,Steven Ramos,Robert47@gmail.com,9809228545,9798 Grace Square Suite 802,Fort Worth,New Mexico,94946,USA,19,Male,Medium,New
93233,Jorge Jones,Cynthia93@gmail.com,9298756394,7264 Emily Fort,Fort Worth,New Mexico,10705,USA,19,Female,Medium,New
46809,Victoria Dodson,Jennifer93@gmail.com,3240443639,07101 Christian Mission Apt. 262,Fort Worth,New Mexico,4713,USA,19,Male,Medium,New
37305,Steven Griffin,David59@gmail.com,9100628104,824 Watts Trace,Fort Worth,New Mexico,26807,USA,19,Female,Medium,New
26544,Megan Medina,Teresa59@gmail.com,1368376167,445 Sanders Glen Apt. 398,Fort Worth,New Mexico,85705,USA,19,Male,Medium,New
70725,Theresa Brooks,Jennifer87@gmail.com,8595376895,136 Wilson Springs,Fort Worth,New Mexico,35198,USA,19,Female,Medium,New
35732,Jeffery Henderson,Erica87@gmail.com,8852488082,0210 Olson Manors,Fort Worth,New Mexico,19322,USA,19,Male,Medium,New
96452,David Ray,David87@gmail.com,7545702592,5194 Martinez Parkways,Fort Worth,New Mexico,8314,USA,19,Male,Medium,New
57337,Andrew Berger,David64@gmail.com,8723566636,9041 Whitney Harbors Apt. 636,Fort Worth,New Mexico,94476,USA,19,Male,Medium,New
34585,Francisco Herrera,Kim78@gmail.com,5182633057,252 Jeremy Skyway Apt. 961,Fort Worth,New Mexico,97001,USA,19,Female,Medium,New
91476,Amanda Martinez,Lynn5@gmail.com,1460630585,20359 Margaret Trail Apt. 346,Fort Worth,New Mexico,48933,USA,19,Male,Medium,New
13268,Denise Aguilar,Michael8@gmail.com,8381031908,99808 Thomas Alley,Fort Worth,New Mexico,15148,USA,19,Female,Medium,New
31951,Rodney Gonzalez,Lauren85@gmail.com,6709820120,09762 Meagan Creek Apt. 581,Fort Worth,New Mexico,64755,USA,19,Female,Medium,New
83806,Hannah James,Robert79@gmail.com,4994749564,0407 Moore Roads,Fort Worth,New Mexico,28298,USA,19,Male,Medium,New
32198,Rebecca Fields,Melanie63@gmail.com,7673532427,978 Hahn Hollow,Fort Worth,New Mexico,41017,USA,19,Male,Medium,New
97542,Marcus Bray,Dawn7@gmail.com,9088869633,567 Michael Well Apt. 408,Fort Worth,New Mexico,72547,USA,19,Male,Medium,New
61138,Scott Hart,Nicole84@gmail.com,9674780244,159 Lewis Knoll Apt. 604,Fort Worth,New Mexico,46612,USA,19,Male,Medium,New
20141,Jacob Miller,Jennifer86@gmail.com,2011233800,3557 White Run,Fort Worth,New Mexico,40326,USA,19,Male,Medium,New
72342,Debra Williams,Dana94@gmail.com,3301134405,0923 Hernandez Pine,Fort Worth,New Mexico,1252,USA,19,Female,Medium,New
81919,Sheryl Rodriguez,Steven10@gmail.com,1518323820,50980 Pham Lodge Suite 471,Fort Worth,New Mexico,1114,USA,19,Male,Medium,New
97197,Drew Taylor,Rebecca53@gmail.com,8416509461,50316 Steve Neck Apt. 651,Fort Worth,New Mexico,31003,USA,19,Male,Medium,New
52076,Carl Turner,Timothy99@gmail.com,5125424645,075 Salinas Fork Apt. 350,Fort Worth,New Mexico,78453,USA,19,Male,Medium,New
22822,Dana Deleon,Michael52@gmail.com,3123386312,1444 Smith Valley Suite 110,Fort Worth,New Mexico,39221,USA,19,Male,Medium,New
24169,Susan Werner,Brandi50@gmail.com,7027064926,681 Larson Stravenue,Fort Worth,New Mexico,50211,USA,19,Male,Medium,New
73266,Christopher Bryan,Joseph31@gmail.com,5689954822,099 Williams Crest,Fort Worth,New Mexico,95991,USA,19,Male,Medium,New
34936,Robert Leonard,Brandon89@gmail.com,8115653226,252 Tucker Turnpike Suite 253,Fort Worth,New Mexico,77729,USA,19,Female,Medium,New
16876,Jessica Ramos,Christopher48@gmail.com,5068930342,235 Michael Ridge,Fort Worth,New Mexico,54611,USA,19,Male,Medium,New
49839,Ana Brown,Patricia11@gmail.com,3805302691,951 Allison Keys,Fort Worth,New Mexico,94921,USA,19,Female,Medium,New
12498,Ashley Adams,Michael67@gmail.com,9631597980,04838 Zamora Forks Suite 969,Fort Worth,New Mexico,6526,USA,19,Male,Medium,New
62328,Alexandra Price,Samuel98@gmail.com,3960017518,143 Spencer Terrace Apt. 107,Fort Worth,New Mexico,4405,USA,19,Male,Medium,New
81829,Charles Walls,Rachel38@gmail.com,7031011921,7148 Ruiz Island Apt. 788,Fort Worth,New Mexico,69121,USA,19,Male,Medium,New
20944,Shari Phillips,Lisa50@gmail.com,3574223103,914 Johnson Pass,Fort Worth,New Mexico,58500,USA,19,Female,Medium,New
67783,Tracy Williams,Brian25@gmail.com,4752970114,9246 Green Courts Suite 959,Fort Worth,New Mexico,55320,USA,19,Male,Medium,New
36478,Jessica Price,Dominique27@gmail.com,7353754893,2720 Wu Flat Apt. 624,Fort Worth,New Mexico,51971,USA,19,Female,Medium,New
19040,Samantha Robinson,Shannon21@gmail.com,8614512418,09079 Hurley Manors,Fort Worth,New Mexico,31249,USA,19,Female,Medium,New
97838,Megan Solomon,Maria29@gmail.com,3092071550,17776 Padilla Ville Suite 477,Fort Worth,New Mexico,42650,USA,19,Male,Medium,New
86710,Jacob Sanchez,Pedro43@gmail.com,6989232836,93649 Tim Walk,Fort Worth,New Mexico,90501,USA,19,Male,Medium,New
50064,Roger Marshall,Joseph10@gmail.com,4496419143,66215 Hubbard Harbor Apt. 697,Fort Worth,New Mexico,98060,USA,19,Female,Medium,New
50777,Kathy Miller,Virginia12@gmail.com,8249010782,41469 Allen Junctions,Fort Worth,New Mexico,29110,USA,19,Male,Medium,New
89385,John Ray,Patrick39@gmail.com,9130812335,46446 Terri Mountain Suite 475,Fort Worth,New Mexico,97453,USA,19,Female,Medium,New
99914,Tammy Johnson,Anthony76@gmail.com,1081685791,517 Ernest Knolls,Fort Worth,New Mexico,35186,USA,19,Male,Medium,New
95973,George White,Jose67@gmail.com,8361125423,628 Sutton Lodge,Fort Worth,New Mexico,3422,USA,19,Male,Medium,New
79817,Monica Powell,Allen77@gmail.com,2362520819,15902 Austin Ramp,Fort Worth,New Mexico,6820,USA,19,Male,Medium,New
77522,Jennifer Jones,Jessica88@gmail.com,8221668211,6700 King Route,Fort Worth,New Mexico,14236,USA,19,Male,Medium,New
27171,Stephanie Butler,Joseph88@gmail.com,1966358201,824 Jill Road,Fort Worth,New Mexico,97850,USA,19,Male,Medium,New
53028,Eugene Allen,Benjamin1@gmail.com,4277917840,67444 Elizabeth Via Suite 888,Fort Worth,New Mexico,25341,USA,19,Female,Medium,New
99548,Valerie Wise,Jeffrey61@gmail.com,7299284446,5636 James Trafficway,Fort Worth,New Mexico,69196,USA,19,Male,Medium,New
74372,Todd Morris,Natasha34@gmail.com,8340051228,592 Scott Station Suite 443,Fort Worth,New Mexico,51188,USA,19,Male,Medium,New
66589,Brandon Russell,Peter59@gmail.com,9296925594,495 Phillips Street Suite 520,Fort Worth,New Mexico,13852,USA,19,Male,Medium,New
85347,Brooke Turner,Kimberly75@gmail.com,1079450660,16925 Jackson Expressway,Fort Worth,New Mexico,13585,USA,19,Female,Medium,New
62638,Mitchell Frazier,Arthur56@gmail.com,2129512661,75509 Chan Junctions,Fort Worth,New Mexico,85248,USA,19,Female,Medium,New
26729,Michael Wilson,Ryan58@gmail.com,3653541878,85643 Maria Gateway,Fort Worth,New Mexico,44174,USA,19,Female,Medium,New
31802,Kenneth Higgins,Reginald67@gmail.com,9708389968,3400 Paul Inlet Apt. 896,Fort Worth,New Mexico,32489,USA,19,Female,Medium,New
51143,Mary Ortega,Kathleen96@gmail.com,4814302028,7948 Sharon Spur,Fort Worth,New Mexico,22547,USA,19,Male,Medium,New
30187,Jonathan Brown,Nathan31@gmail.com,8549215379,9997 Taylor Expressway,Fort Worth,New Mexico,6198,USA,19,Male,Medium,New
43252,Daniel Atkins,Daniel18@gmail.com,8957760477,303 Brown Fort,Fort Worth,New Mexico,64169,USA,19,Male,Medium,New
36632,Timothy Rogers DVM,Edward44@gmail.com,9027564544,47050 Gloria Lights Suite 597,Fort Worth,New Mexico,55001,USA,19,Male,Medium,New
17408,Sarah Hicks,Amy94@gmail.com,9151762319,40584 Holden Falls Apt. 999,Fort Worth,New Mexico,24094,USA,19,Male,Medium,New
68319,Steve Spencer,Brian56@gmail.com,1911636011,83507 Nguyen Corner,Fort Worth,New Mexico,67023,USA,19,Female,Medium,New
79169,Connie Jensen,Paul80@gmail.com,8180325736,87979 Ronnie Mountain,Fort Worth,New Mexico,80414,USA,19,Male,Medium,New
21383,Mark Koch,Terri20@gmail.com,5329733569,3307 John Shoals Suite 622,Fort Worth,New Mexico,84076,USA,19,Male,Medium,New
